OA11CD,PAR11CD,PAR11NM,PAR11NMW,SMPOPIND,LAD11CD,LAD11NM,LAD11NMW,ObjectId
E00102323,E04003195,Bishopsteignton,,0,E07000045,Teignbridge,,99601
E00102324,E04003195,Bishopsteignton,,0,E07000045,Teignbridge,,99602
E00102325,E04003195,Bishopsteignton,,0,E07000045,Teignbridge,,99603
E00102326,E04003195,Bishopsteignton,,0,E07000045,Teignbridge,,99604
E00102327,E04003195,Bishopsteignton,,0,E07000045,Teignbridge,,99605
E00102328,E04003195,Bishopsteignton,,0,E07000045,Teignbridge,,99606
E00102329,E04003195,Bishopsteignton,,0,E07000045,Teignbridge,,99607
E00102330,E04003196,Bovey Tracey,,0,E07000045,Teignbridge,,99608
E00102331,E04003196,Bovey Tracey,,0,E07000045,Teignbridge,,99609
E00102332,E04003196,Bovey Tracey,,0,E07000045,Teignbridge,,99610
E00102333,E04003196,Bovey Tracey,,0,E07000045,Teignbridge,,99611
E00102334,E04003196,Bovey Tracey,,0,E07000045,Teignbridge,,99612
E00102335,E04003196,Bovey Tracey,,0,E07000045,Teignbridge,,99613
E00102336,E04003196,Bovey Tracey,,0,E07000045,Teignbridge,,99614
E00102337,E04003196,Bovey Tracey,,0,E07000045,Teignbridge,,99615
E00102338,E04003196,Bovey Tracey,,0,E07000045,Teignbridge,,99616
E00102339,E04003196,Bovey Tracey,,0,E07000045,Teignbridge,,99617
E00102340,E04003196,Bovey Tracey,,0,E07000045,Teignbridge,,99618
E00102341,E04003196,Bovey Tracey,,0,E07000045,Teignbridge,,99619
E00102342,E04003196,Bovey Tracey,,0,E07000045,Teignbridge,,99620
E00102343,E04003196,Bovey Tracey,,0,E07000045,Teignbridge,,99621
E00102344,E04003196,Bovey Tracey,,0,E07000045,Teignbridge,,99622
E00102345,E04003196,Bovey Tracey,,0,E07000045,Teignbridge,,99623
E00102346,E04003196,Bovey Tracey,,0,E07000045,Teignbridge,,99624
E00102574,E04003219,Kingsteignton,,0,E07000045,Teignbridge,,99625
E00102475,E04003204,Dawlish,,0,E07000045,Teignbridge,,99626
E00102347,E04003196,Bovey Tracey,,0,E07000045,Teignbridge,,99627
E00102348,E04003196,Bovey Tracey,,0,E07000045,Teignbridge,,99628
E00102349,E04003196,Bovey Tracey,,0,E07000045,Teignbridge,,99629
E00102350,E04003196,Bovey Tracey,,0,E07000045,Teignbridge,,99630
E00102351,E04003196,Bovey Tracey,,0,E07000045,Teignbridge,,99631
E00102352,E04003196,Bovey Tracey,,0,E07000045,Teignbridge,,99632
E00102353,E04003196,Bovey Tracey,,0,E07000045,Teignbridge,,99633
E00102354,E04003220,Lustleigh,,0,E07000045,Teignbridge,,99634
E00102355,E04003220,Lustleigh,,0,E07000045,Teignbridge,,99635
E00102356,E04012122,Newton Abbot,,0,E07000045,Teignbridge,,99636
E00102357,E04012122,Newton Abbot,,0,E07000045,Teignbridge,,99637
E00102358,E04012122,Newton Abbot,,0,E07000045,Teignbridge,,99638
E00102359,E04012122,Newton Abbot,,0,E07000045,Teignbridge,,99639
E00102360,E04012122,Newton Abbot,,0,E07000045,Teignbridge,,99640
E00102361,E04012122,Newton Abbot,,0,E07000045,Teignbridge,,99641
E00102362,E04012122,Newton Abbot,,0,E07000045,Teignbridge,,99642
E00102525,E04003208,Exminster,,0,E07000045,Teignbridge,,99643
E00102363,E04012122,Newton Abbot,,0,E07000045,Teignbridge,,99644
E00102364,E04012122,Newton Abbot,,0,E07000045,Teignbridge,,99645
E00102365,E04012122,Newton Abbot,,0,E07000045,Teignbridge,,99646
E00102366,E04012122,Newton Abbot,,0,E07000045,Teignbridge,,99647
E00102367,E04012122,Newton Abbot,,0,E07000045,Teignbridge,,99648
E00102368,E04012122,Newton Abbot,,0,E07000045,Teignbridge,,99649
E00102369,E04012122,Newton Abbot,,0,E07000045,Teignbridge,,99650
E00102370,E04012122,Newton Abbot,,0,E07000045,Teignbridge,,99651
E00102371,E04012122,Newton Abbot,,0,E07000045,Teignbridge,,99652
E00102372,E04012122,Newton Abbot,,0,E07000045,Teignbridge,,99653
E00102373,E04003209,Haccombe with Combe,,0,E07000045,Teignbridge,,99654
E00102476,E04003204,Dawlish,,0,E07000045,Teignbridge,,99656
E00102526,E04003208,Exminster,,0,E07000045,Teignbridge,,99657
E00102477,E04003204,Dawlish,,0,E07000045,Teignbridge,,99658
E00102575,E04003219,Kingsteignton,,0,E07000045,Teignbridge,,99659
E00102374,E04012122,Newton Abbot,,0,E07000045,Teignbridge,,99661
E00102527,E04003212,Ide,,0,E07000045,Teignbridge,,99662
E00102478,E04003204,Dawlish,,0,E07000045,Teignbridge,,99663
E00102576,E04003219,Kingsteignton,,0,E07000045,Teignbridge,,99664
E00102375,E04012122,Newton Abbot,,0,E07000045,Teignbridge,,99666
